tiempo,,,,,,,ComcelProveedorSuscripcion
PROMLECTURACRITICA,,,,,,,57.2
PROMMATEMATICA,,,,,,,55.5
PROMSOCIALESYCIUDADANAS,,,,,,,53.9
PROMCIENCIASNATURALES,,,,,,,54.3
PROMINGLES,,,,,,,58.4
